Acronym,Publication Title
CEC,"Evolutionary Computation, 2007 IEEE Congress on"
CEC Wkshp,"E-Commerce Technology Workshop, 2005 7th International on"
CEC-EEE,"E-Commerce Technology and Enterprise Computing E-Commerce and E-Services (CEC-EEE), 2006"
CEEM,"Environmental Electromagnetics, 2006 4th Asia-Pacific Conference on"
CEFC,"Electromagnetic Field Computation, 2006 12th Biennial IEEE Conference on"
CEIDP,"Electrical Insulation and Dielectric Phenomena, 2006 Annual Report Conference on"
CEM,"Computational Electromagnetics Workshop, 2007"
CERE,"Comparative Evaluation in Requirements Engineering (CERE), 2006 4th International Workshop on"
CERMA,"Electronics, Robotics and Automotive Mechanics Conference, 2006"
CGI,"Computer Graphics International (CGI), 2005"
CGIV,"Computer Graphics Imaging and Visualization (CGIV), 2006"
CGO,"Code Generation and Optimization (CGO), 2006 4th IEEE/ACM International Symposium on"
CHINACOM,"Communications and Networking in China, 2007 Second International Conference in"
CIBCB,"Computational Intelligence and Bioinformatics and Computational Biology, 2006 IEEE Symposium on"
CIC,"Computing (CIC), 2006 15th International Conference on"
CICC,"Custom Integrated Circuits Conference, 2005 IEEE"
CICLing,"Intelligent Text Processing and Computational Linguistics, Special Session (CICLing), 2007 Eighth International Conference on"
CIDM,"Computational Intelligence and Data Mining, 2007 IEEE Symposium on"
CIEP,"Power Electronics Congress - CIEP, 2006 IEEE International"
CIG,"Computational Intelligence and Games, 2007 IEEE Symposium on"
CIGRE,"Congestion Management in a Market Environment, 2005 CIGRE/IEEE PES International Symposium"
CIHSPS,"Computational Intelligence for Homeland Security and Personal Safety, 2006 IEEE International Conference on"
CIISP,"Computational Intelligence in Image and Signal Processing, 2007 IEEE Symposium on"
CIMA,"Computational Intelligence Methods and Applications (CIMA 2005), 2005 ICSC Congress on"
CIMCA,"Computational Intelligence for Modelling Control and Automation, 2005"
CIMSA,"Computational Intelligence for Measurement Systems and Applications, 2006 IEEE International Conference on"
CIRA,"Computational Intelligence in Robotics and Automation, 2007 International Symposium on"
CIS,"Computational Intelligence and Security (CIS), 2007 International Conference on"
CIS Workshops,"Computational Intelligence and Security Workshops (CIS Workshops), 2007 International Conference on"
CISched,"Computational Intelligence in Scheduling, 2007 IEEE Symposium on"
CISDA,"Computational Intelligence in Security and Defense Applications, 2007 IEEE Symposium on"
CISIM,"Computer Information Systems and Industrial Management Applications, 2007 6th International Conference on"
CISIS,"Complex Intelligent and Software Intensive Systems (CISIS), 2007 5th International Conference on"
CISP,"Congress on Image and Signal Processing, 2008 International"
CISS,"Information Sciences and Systems, 2006 40th Annual Conference on"
CIT,"Computer and Information Technology (CIT), 2006 6th International Conference on"
CLADE,"Large Applications in Distributed Environments, 2006 IEEE Challenges of"
CLEO,"Lasers & Electro-Optics, 2007 Conference on"
CLEO-PR,"Pacific Rim Conference on Lasers and Electro-Optics, 2005"
CLUSTER,"Cluster Computing (CLUSTER),  2007 IEEE International Conference on"
CMD,"Condition Monitoring and Diagnosis, 2008 International Conference on"
CME,"Complex Medical Engineering, 2007 IEEE/ICME International Conference on"
CMTC,"Current Measurement Technology, 2005 IEEE/OES 8th Working Conference on"
CMV,"Coordinated and Multiple Views in Exploratory Visualization, 2007 International Conference"
CNE,"Neural Engineering, 2005 2nd International IEEE/EMBS Conference on"
CNIC,"Neural Interface and Control, 2005 1st International Conference on"
CNNA,"Cellular Neural Networks and Their Applications, 2006 10th International Workshop on"
CNSR,"Communication Network and Services Research Conferences (CNSR), 2006"
CODES-ISSS,"Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2006 4th IEEE/ACM/IFIP International Conference on"
CogART,"Cognitive Radio and Advanced Spectrum Management, 2008 First International Workshop on"
COIN/ACOFT,"Optical Internet and Australian Conference on Optical Fibre Technology, 2007 the Joint International Conference on"
CollaborateCom,"Collaborative Computing: Networking, Applications and Worksharing, 2007 International Conference on"
COMCAS,"Microwaves, Communications, Antennas and Electronic Systems, 2008 IEEE International Conference on"
COMITE,"Microwave Techniques, 2008 14th Conference on"
COMMAD,"Optoelectronic Materials and Devices, 2006 Conference on"
COMPEL,"Computers in Power Electronics, 2006 10th IEEE Workshop on"
COMPSAC,"Computer Software and Applications Conference (COMPSAC), 2006 30th Annual International"
COMPSAC SUPPL,"Computer Software and Applications Conference Supplement (COMPSAC 2006 supplement), 2006 IEEE 30th International"
COMSWARE,"Communication Systems Software & Middleware, 2007 2nd International Conference on"
CONIELECOMP,"Electronics, Communications and Computer (CONIELECOMP), Proceedings 2006 16th International Conference on"
CONTEL,"Telecommunications, 2007 Proceedings of the 9th International Conference on"
CPE,"Compatibility in Power Electronics, 2007"
CRIMICO,"Microwave & Telecommunication Technology"", 2007 17th International Crimean Conference """
CROWNCOM,"Cognitive Radio Oriented Wireless Networks and Communications, 2007 2nd International Conference on"
CROWNCON,"Cognitive Radio Oriented Wireless Networks and Communications, 2008 3rd International Conference on"
CRV,"Computer and Robot Vision (CRV), 2007 4th Canadian Conference on"
CSB,"Computational Sys Bioinformatics Conf, 2005 IEEE"
CSCWD,"Computer Supported Cooperative Work in Design, 2006 10th International Conference on"
CSEET,"Software Engineering Education and Training - (CSEET), 2007 IEEE 20th Conference on"
CSF,"Computer Security Foundations Symposium, 2007 IEEE 20th"
CSFW,"Computer Security Foundations Workshop (CSFW), 2006 IEEE 19th"
CSICS,"Compound Semiconductor Integrated Circuits Symposium, 2007 IEEE"
CSMR,"Software Maintenance and Reengineering (CSMR), 2006 10th European Conference on"
CSNDSP,"Communication Systems, Networks and Digital Signal Processing, 2008 6th International Symposium on"
CTRQ,"Communication Theory, Reliability,and Quality of Service CTRQ, 2008 International Conference on"
CTS,"Collaborative Technologies and Systems (CTS), 2006 International Symposium on"
CTTE,"Telecommunication Techno-Economics, 2007 6th Conference on"
CV4IIE,"Computer Vision for Interactive and Intelligent Environments (CV4IIE), 2005 Workshop on"
CVPR,"Computer Vision and Pattern Recognition (CVPR), 2007 IEEE Conference on"
CVPR WKSHP,"Computer Vision and Pattern Recognition Workshops (CVPR Workshops), 2006 IEEE Computer Society Conference on"
CW,"Cyberworlds (CW), 2006 International Conference on"
CWIT,"Information Theory, 2007 10th Canadian Workshop on"
D2H2,"Distributed Diagnosis & Home Healthcare (D2H2), 2006"
DAC,"Design Automation Conference, 2005 42nd ACM/IEEE"
Dagstuhl,"Visualization, 2005 Dagstuhl"
DASC,"Digital Avionics Systems Conference, 2006 IEEE/AIAA 25th"
DATE,"Design, Automation & Test in Europe Conference & Exhibition (DATE 2007), 2007"
DBT,"Defect Based Testing, 2005 IEEE Intl Wkshp on"
DCAS,"Circuits and Systems Workshop on System-on-Chip, 2007 6th IEEE Dallas"
DCC,"Data Compression Conference, 2006 (DCC 2006)"
DDECS,"Design and Diagnostics of Electronic Circuits and Systems (DDECS), 2006 IEEE"
DEEC,"Data Engineering Issues in E-Commerce, 2005 International Workshop on"
DELTA,"Electronic Design, Test and Applications (DELTA),  2006 IEEE International Workshop on"
DEMBS,"Engineering in Medicine and Biology Workshop, 2007 IEEE Dallas"
DEPCoS,"Dependability of Computer Systems (DepCoS), 2006 International Conference on"
DepCos-RELCOME,"Dependability of Computer Systems (DepCos-RELCOMEX), 2007 2nd International Conference on"
DEST,"Digital EcoSystems and Technologies Conference, 2007 Inaugural IEEE-IES"
DEXA,"Database and Expert Systems Applications (DEXA), 2006 17th International Conference on"
DFMA,"Distributed Frameworks for Multimedia Applications, 2006 2nd International Conference on"
DFT,"Defect and Fault Tolerance in VLSI Systems (DFT), 2006 21st IEEE International Symposium on"
DGTE,"Digital Games and Intelligent Toys-based Education (DGTE), 2007 IEEE International Workshop on"
DIAL,"Document Image Analysis for Libraries (DIAL), 2006"
DICTA,"Digital Image Computing Techniques & Applications, 2007"
DIPED,"Direct and Inverse Problems of Electromagnetic Acoustic Wave Theory, 2006 Proceedings of XIth International Seminar/Workshop on"
DMAMH,"Digital Media and Its Application in Museum and Heritage (DMAMH), 2007 Second Workshop on"
DoD HPCMP UGC,"DoD High Performance Computing Modernization Program Users Group Conference, 2007"
DRC,"Device Research Conference, 2006 64th Annual"
DRCN,"Design and Reliable Communication Networks, DRCN 2007 6th International Workshop on"
DRPT,"Electric Utility Deregulation and Restructuring and Power Technologies, 2008 Third International Conference on"
D-RT,"Distributed Simulation and Real-Time Applications DS-RT, Proceedings 2005 9th Intl Symposium on"
DSD,"Digital System Design: Architectures Methods and Tools (DSD), 2006 9th Euromicro Conference on"
DSN,"Dependable Systems & Networks, 2007 IEEE International Conference on"
DSP,"Digital Signal Processing, 2007 15th International Conference on"
DSRT,"Distributed Simulation & Real Time Applications (DSRT), 2006 10th IEEE/ACM International Symposium on"
DS-RT,"Distributed Simulation and Real Time Applications (DS-RT), 2007 11th IEEE/ACM International Symposium on"
DSSNS,"Dependability and Security in Sensor Networks and Systems (DSSNS 2006), 2006 2nd IEEE Workshop on"
DTIS,"Design & Technology of Integrated Systems in Nanoscale Era, 2007 International Conference on"
DySPAN,"New Frontiers in Dynamic Spectrum Access Networks, 2007 2nd IEEE International Symposium on"
E2EMON,"End-to-End Monitoring Techniques and Services, 2007 Workshop on"
EAEEIE,"EAEEIE Annual Conference, 2008 19th"
EARLYASPECTS,"Apsect-Oriented Requirements Engineering and Architecture Design, 2007 Workshop in"
EASE,"Autonomic and Autonomous Systems, 2006 IEEE 3rd Workshop on Engineering of"
ECBS,"Engineering of Computer Based Systems (ECBS), 2006 IEEE Symposium and Workshop on"
ECCTD,"Circuit Theory and Design, 2007 European Conference on"
ECOC,"Optical Communications Proceedings, 2006 European Conference on"
ECOWS,"Web Services, 2006 4th IEEE European Conference on"
ECRTS,"Real-Time Systems (ECRTS), 2006 18th Euromicro Conference on"
ECTC,"Electronic Components and Technology Conference, 2006 IEEE 56th"
ECTI-CON,"Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology, 2008 5th International Conference on"
ECUMN,"Universal Multiservice Networks (ECUMN), 2007 European Conference on"
ECWT,"Wireless Technologies, 2006 European Conference on"
EDCC,"Dependable Comuting Conference (EDCC), 2006 6th European"
EDM,"Electron Devices and Materials, 2006 International Workshops and Tutorials on"
EDOC,"Enterprise Distributed Object Computing Conference (EDOC), 2006 10th IEEE International"
EDOC Workshops,"Enterprise Distributed Object Computing Conference Workshops (EDOC workshops), 2006 10th IEEE International"
EDSSC,"Electron Devices and Solid- State Circuits, 2007 IEEE Conference on"
EDST,"Electron Devices and Semiconductor Technology, 2007 International Workshop on"
EEE,"e-Technology , e-Commerce and e-Service, 2005 IEEE International Conference on  (EEE 2005)"
EEIC,"Electrical Insulation Conference and Electrical Manufacturing Expo, 2007"
EEM,"Electricity Market, 2008 5th International Conference on the European"
EFTA,"Emerging Technologies &Factory Automation (ETFA 2005),  2005 IEEE Conference on"
EH,"Evolvable Hardware, 2005 NASA/DOD Conference on"
EIT,"Electro/Information Technology, 2006 IEEE International Conference on"
EITC,"Emerging Information Technology Conference, 2006"
ELMAR,"ELMAR, Proceedings 2006"
EMAP,"Electronics Materials and Packaging (EMAP 2005), 2005 International Symposium on"
EMBS,"Engineering in Medicine and Biology Society, 2006 Annual International Conference of the IEEE"
EMC,"Engineering Management Conference, 2006 IEEE-UT"
EML,"Electromagnetic Launch Technology, 2008 14th Symposium on"
EMNETS,"Embedded Networked Sensors, 2005 2nd IEEE Workshop on"
ENC,"Computer Science (ENC), 2006 7th Mexican International Conference on"
EOS,"Optical Society Annual Meeting, 2006 European"
EOS/ESD,"EOS/ESD Symposium, 2007 29th Annual International"
EPC,"Electrical Power Conf, 2007 IEEE Canada"
EPE,"Power Electronics and Applications - EPE 2007, 2007 European Conference on"
EPEP,"Performance of Electronic Packaging,  2007 IEEE Electrical"
EPE-PEMC,"Power Electronics and Motion Control Conference, 2006 12th International"
EPQU,"Electrical Power Quality and Utilisation, Proceedings of the 9th International Conference on"
EPTC,"Electronic Packaging Technology Conference, 2006 8th"
EQEC,"European Quantum Electronic, 2005"
ESC,"Economics of Software and Computation (ESC 2007), 2007 First International Workshop on the"
e-Science,"e-Science and Grid Computing, 2006 2nd IEEE International Conference on"
ESEM,"Empirical Software Engineering and Measurement (ESEM), 2007 1st International Symposium on"
ESMO,"ESMO 2006 - 2006 IEEE 11th International Conference on Transmission & Distribution Construction, Operation and Live-Line"
ESSCIRC,ESSCIRC 2006 - 32nd European Solid State Circuits Conf
ESSDERC,"Solid State Device Research Conference, ESSDERC 2006 36th European"
ESTC,"Electronic System Integration Technology Conference, 2006 1st"
ESTIMEDIA,"Embedded Systems for Real Time Multimedia, Proceedings of the 2006 IEEE/ACM/IFIP Workshop on"
ESTS,"Electric Ship Technologies Symposium, 2007 IEEE"
ETC,"Emerging Technologies Conference, 2006 9th Annual IEEE"
ETFA,"Emerging Technologies and Factory Automation, 2007 IEEE Conference on"
ETS,"Test Symposium (ETS), 2006 11th IEEE European"
EUCAP,"Antennas and Propagation, Proceedings of the First European Conference on"
EUMC,"Microwave Conference, 2006 European"
EUMIC,"Microwave Integrated Circuits Conference, 2007 European"
EURAD,"Radar Conference, 2006 European"
EUROCON,"EUROCON 2007 - The International Conference on ""Computer as a Tool"""
EUROSIME,"Thermal, Mechanical & Multi-Physics Simulation and Experiments in Microelectronics & Micr System, 2007 International Conference on"
EuroSimeE,"Thermal, Mechanical and Multi-Physics Simulation and Experiments in Microelectronics and Microsystems, 2008 International"
EUWIT,"Wireless Technology, Proceedings of the 2008 European Conference on"
EWSN,"Wireless Sensor Networks, 2005 2nd European Workshop on"
FBIT,"Frontiers in the Convergence of Bioscience and Information Technologies (FBIT 2007), 2007"
FCCM,"Field Programmable Custom Computing Machines (FCCM), 2006 14th Annual IEEE Symposium on"
FCST,"Frontier of Computer Science & Technology (FCST), 2006 Japan-China Joint Workshop on"
FDL,"Specification, Verification and Design Languages (FDL), 2008 Forum on"
FDTC,"Fault Diagnosis and Tolerence Cryptography, 2007 Workshop on"
FG,"Automatic Face & Gesture Recognition, 2008 8th IEEE International Conference on"
FGCN,"Future Generation Communication and Networking (FGCN), 2007 International Conference on"
FGR,"Automatic Face and Gesture Recognition (FGR), Proceedings 2006 7th International Conference on"
FIE,"Frontiers in Education Conference, 2005 IEEE"
FLOSS,"Emerging Trends in FLOSS Research and Development (FLOSS 2007), 2007 First International Workshop on"
FMCAD,"Formal Methods in Computer-Aided Design (FMCAD), 2006"
FOCI,"Foundations of Computational Intelligence, 2007 IEEE Symposium on"
FOCS,"Foundations of Computer Science - FOCS, 2006 IEEE 47th Annual Conference on"
FOSE,"Future of Software Engineering, 2007"
FPL,"Field Programmable Logic and Applications, 2007 International Conference on"
FPS,"Future Power Systems (FPS),2005 International Conference on"
FPT,"Field Programmable Technology, 2006 IEEE International Conference on"
FSKD,"Fuzzy Systems and Knowledge Discovery (FSKD), 2007 International Conference on"
FTDCS,"Future Trends of Distributed Computing Systems - FTDCS, 2007 IEEE 11th Workshop on"
FUMCA,"System Support for Future Mobile Computing Applications, 2006 International Workshop on"
FUSION,"Information Fusion, 2007 Proceedings of the 10th International Conference on"
FUZZY,"Fuzzy Systems, 2007 IEEE International Conference on"
GAAS,"Gallium Arsenide and Other Semiconductors Application, European  Symposium"
GCC,"Grid and Cooperative Computing, 2007 6th International Conference on"
GD,"Gas Discharges and their Applications, 2008 17th International Conference on"
GEFS,"Genetic and Evolving Fuzzy Systems, 2008 3rd International Workshop on"
GENSIPS,"Genomic Signal Processing and Statistics, 2006 IEEE International Workshop on"
GFP,"Group IV Photonics, 2007 4TH IEEE International Conference on"
GI,"Global Internet Symposium, 2007 IEEE"
GIIS,"Global Information Infrastructure Symposium, 2007 First International"
GLOBAL,"Global Telecommunications Conference, GLOBECOM 2006"
GLOBECOM,"Global Telecommunications Conference,  GLOBECOM 2005 - 2005 IEEE"
GLSVLSI,"VLSI, 2008 Great Lakes Symposium on"
GMAI,"Geometric Modeling and Imaging, 2007 International Conference on"
GPC Workshops,"Grid and Pervasive Computing Workshops (GPC Workshops), 2008 3rd International Conference on"
GRC,"Granular Computing, 2006 IEEE International Conference on"
GRID,"Grid Computing (GRID 2005), 2005 6th International Workshop on"
GSIS,"Grey Systems and Intelligent Services, 2007 IEEE International Conference on"
GSMM,"Millimeter Waves, 2008 Global Symposium on"
Haptics,"Haptic Interfaces for Virtual Environment and Teleoperator Systems, 2008 Symposium on"
HASE,"High-Assurance Systems Engineering (HASE), 2007 IEEE International Symposium on"
HAVE,"Haptic Audio Visual Environments and their Applications, 2006 IEEE International Workshop on"
HCMDSS-MD PnP,"High Confidence Medical Devices, Software, and Systems and Medical Device Plug-and-Play Interoperability, 2007 Joint Workshop on"
HDP,"High Density Design Packaging and Microsystem Integration, 2007 International Symposium on"
HEALTHCOM,"Enterprise Networking and Computing in Healthcare Industry, 2006 Workshop on"
HFPP,"Human Factors and Power Plants and HPRCT 13th Annual Meeting, 2007 IEEE 8th"
HICSS,"System Sciences (HICSS), Proceedings 2006 39th Annual Hawaii International Conference on"
HIS,"Hybrid Intelligent Systems (HIS), 2006 2nd International Conference on"
HLDVT,"High Level Design Validation and Test Workshop (HLDVT), 2006 IEEE International"
HOLM,Electrical Contacts - 2007 Proceedings of the 53rd IEEE Holm Conference on Electrical Contacts
HONET,"High Capacity Optical Networks and Enabling Technologies, 2007 International Symposium on"
HOTI,"High-Performance Interconnects (HOTI), 2006 14th IEEE Symposium on"
HotMobile,"Mobile Computing Systems and Applications (HotMobile), 2007 8th IEEE Workshop on"
HotWeb,"Hot Topics in Web Systems and Technologies (HotWeb), 2006 1st IEEE Workshop on"
HPCA,"High Performance Computer Architecture (HPCA), 2007 IEEE 13th International Symposium on"
HPCMP UCG,"User Group Conference, 2006 HPC-UGC"
HPCS,"High-Performance Computing in an Advance Collaborative Environment (HPCS), 2006 20th International Symposium on"
HPDC,"High Performance Distributed Computing, 2006 15TH IEEE International Symposium on"
HPSR,"High Performance Switching and Routing, 2007 Workshop on"
HSI,"Human System Interactions, 2008 Conference on"
HUMANOIDS,"Humanoid Robots, 2006 6th IEEE-RAS International Conference on"
I&CPS,"Industrial and Commercial Power Systems Technical Conference - Conference Record, 2007 IEEE"
IAS,"Information Assurance and Security, 2007 3rd International Symposium on"
IAT,"Intelligent Agent Technology (IAT), 2006 IEEE/WIC/ACM International Conference on"
IAW,"Information Assurance Workshop, 2006 IEEE"
IBCAST,"Applied Sciences & Technology, 2007 Proceedings of International Bhurban Conference on"
IC3N,"Computer Communications and Networks - IC3N 2006, 2006 15th International Conference"
ICAC,"Autonomic Computing, 2006 IEEE International Conference on"
ICACT,"Advanced Communication Technology, 2006 8th International Conference"
ICAL,"Automation and Logistics, 2007 IEEE International Conference on"
ICALIP,"Audio, Language and Image Processing, 2008 International Conference on"
ICALT,"Advanced Learning Technologies (ICALT), 2006 6th IEEE International Conference on"
ICAR,"Advanced Robotics,2005 12th International Conference on"
ICARCV,"Control, Automation, Robotics and Vision, 2006 9th International Conference on"
ICAS,"Autonomic and Autonomous Systems (ICAS), 2006 International Conference on"
ICASSP,"Acoustics, Speech and Signal Processing (ICASSP),  2005 IEEE International Conference on"
ICAST,"Advances in Space Technologies, 2006 International Conference on"
ICAT,"Artificial Reality and Telexistence, 2006 16th International Conference on"
ICATT,"Antenna Theory and Techniques, 2005 5th International Conference on"
ICBBE,"Bioinformatics and Biomedical Engineering, 2007 1st International Conference on"
